,國文,英文,數學,地理,歷史,總分,平均
1,90,60,87,64,74,375,75.0
2,72,71,89,85,84,401,80.2
3,97,99,99,60,80,435,87.0
4,63,60,67,90,91,371,74.2
5,98,88,78,82,75,421,84.2
6,60,97,93,84,67,401,80.2
7,82,76,84,91,63,396,79.2
8,92,89,86,92,96,455,91.0
9,75,82,85,71,92,405,81.0
10,66,62,89,60,99,376,75.2
11,68,71,78,75,81,373,74.6
12,61,62,82,98,87,390,78.0
13,77,64,81,87,86,395,79.0
14,74,60,97,76,61,368,73.6
15,83,69,72,90,88,402,80.4
16,74,63,69,76,89,371,74.2
17,83,60,81,96,89,409,81.8
18,91,91,85,86,65,418,83.6
19,61,98,99,60,91,409,81.8
20,85,84,73,66,80,388,77.6
21,69,69,83,84,71,376,75.2
22,68,97,73,80,87,405,81.0
23,95,86,80,86,88,435,87.0
24,73,64,95,77,80,389,77.8
25,98,94,76,97,81,446,89.2
26,80,73,84,96,91,424,84.8
27,85,83,80,76,64,388,77.6
28,79,78,89,69,93,408,81.6
29,72,91,69,63,84,379,75.8
30,73,88,91,87,81,420,84.0
31,77,77,95,67,98,414,82.8
32,70,82,82,88,85,407,81.4
33,98,81,90,77,74,420,84.0
34,90,90,76,97,62,415,83.0
35,65,81,81,92,84,403,80.6
36,70,79,95,97,71,412,82.4
37,91,98,94,67,71,421,84.2
38,82,94,65,76,91,408,81.6
39,91,66,76,86,90,409,81.8
40,71,60,70,86,75,362,72.4
41,74,64,90,91,80,399,79.8
42,68,92,71,99,64,394,78.8
43,84,68,79,96,92,419,83.8
44,75,75,66,73,88,377,75.4
45,68,98,90,95,64,415,83.0
46,61,78,94,93,85,411,82.2
47,97,69,83,77,73,399,79.8
48,89,63,82,69,73,376,75.2
49,90,76,89,93,96,444,88.8
50,88,77,77,72,89,403,80.6
